JobID,Jenjang,Kualifikasi,Posisi,Gender,Provinsi,Kota,Pengalaman,Skill 1,Skill 2,Skill 3,Gaji,Jenis,Perusahaan,TglPosting,Jenis Perusahaan,Link,Deskripsi
1,Kindergarten,Bachelor Degree,Kindergarten Teacher,General,Jawa Barat,Bogor,24,Experience in teaching kids,Proficient in English,Collaboration,0,Full time,PT Tunas Tuju Asa,2023-05-16,Sekolah,PRESCHOOL & KINDERGARTEN TEACHERS FOR KINDERFIELD PRE KG DEPOK - PT Tunas Tuju Asa - 4336213 | JobStreet,"Available for working in the new academic year 2023-2024 , Bachelor Degree (S1) or Diploma IV (DIV) PAUD from a reputable university with a relevant background, AKTA IV holder is preferred, Minimum 2 years experience as school teacher, preferably in the early childhood program, Fresh graduates are welcome to apply, Having experience in Montessori teaching would be an advantage, High English proficiency (fluent in speaking and writing), Love working with children and interacting with parents, Possess strong interpersonal and communication skill, A good team player, hard worker, high initiative and creative, Computer literate."
2,Kindergarten,Bachelor Degree,Islamic Education Teachers,General,Banten,Tangerang,24,Proficient in Arabic,Read the Qur’an,Experience in teaching kids,0,Full time,PT Kinder Haven Pusaka,2023-05-18,Sekolah,Guru Agama (Religion Student Counselor) - PT Kinder Haven Pusaka - 4323955 | JobStreet,"Create environments, activities, and programming for each age group of children that will facilitate learning and encourage spiritual growth.                                     Ensuring Core Character Value Program is executed at each classroom in accordance with established curriculum, classroom procedures, and child safety policies
Provide care for children and families with the school, including one on one session
To encourage and motivate children in a growing commitment
To help parents be involved in the spiritual formation of their child's life.
Provides leadership, training, support, and oversight to all KinderHaven's staff."
3,Kindergarten,Bachelor Degree,Kindergarten Teacher,General,DI Yogyakarta,Sleman,24,Experience in teaching kids,Leadership,Proficient in English,2200000,Full time,Yayasan Pendidikan Blue Dolphin International,2023-05-18,Sekolah,Preschool and Kindergarten Teacher - Yay. Pendidikan Blue Dolphin International - 4323076 | JobStreet,"We are a well-grown English-speaking Pre-school and Kindergarten in YOGYAKARTA, We focus on the development of children aged 18 months – 6 years old, We are expanding and open more classes."
4,Kindergarten,Bachelor Degree,Kindergarten Teacher,General,Jawa Timur,Surabaya,0,Experience in teaching kids,Communication,Collaboration,0,Full time,Yayasan Intan Eduka,2023-05-18,Sekolah,KINDERGARTEN TEACHER - Yayasan Intan Eduka - 4322702 | JobStreet,"Preparing and delivering lessons to a range of classes, Marking work, giving appropriate feedback and maintaining records of pupils progress and development, Talk to parents for any issues of the children, discuss and give advice and suggestions to parents who require helps."
5,Elementary School,Diploma Degree,Natural Sciences Teacher,General,Jawa Barat,Depok,0,Natural Sciences,Proficient in English,Experience in teaching kids,2000000,Full time,Pratiwi School Depok,2023-05-17,Sekolah,Science and Mathematics Teachers - Pratiwi School Depok - 4331995 | JobStreet,"Age max 35 years old, Bachelor degree in Education from reputable university with GPA 2.75 , Able to work with computer/laptop, Excellent in written and oral English, Pleasant personality, Able to work as a team, Patient and love working with children, Discipline, Preferably live in Depok"
6,Elementary School,Diploma Degree,Math teacher,General,Jawa Barat,Depok,0,Mathematics,Operate a computer,Experience in teaching kids,2000000,Full time,Pratiwi School Depok,2023-05-17,Sekolah,Science and Mathematics Teachers - Pratiwi School Depok - 4331995 | JobStreet,"Age max 35 years old, Bachelor degree in Education from reputable university with GPA 2.75 , Able to work with computer/laptop, Excellent in written and oral English, Pleasant personality, Able to work as a team, Patient and love working with children, Discipline, Preferably live in Depok"
7,Junior High School,Bachelor Degree,Physical Education and Health Teachers,General,Jakarta,,12,Sport,Creative,Leadership,0,Full time,Yayasan Tunas Muda,2023-05-19,Sekolah,Secondary PE Teacher - YAYASAN TUNAS MUDA - 4322917 | JobStreet,"Should be an inspirational, passionate and adaptable educator with the ability to deliver an inquiry-based, trans-disciplinary programme, Has a deep & good understanding / knowledge of subject to be taught, including PSHE, Has a good Classroom Management & Student Behaviour Management"
8,Junior High School,Bachelor Degree,Cultural arts teacher,Perempuan,Jakarta,Jakarta Utara,0,Arts,Read the Qur’an,Creative,0,Full time,SMP Sejahtera,,Sekolah,www.smp-sejahtera.sch.id,"Usia maksimal 35 tahun, Pendidikan S1 linear, Tinggi badan / berat badan proposional, penampilan menarik, mampu membaca alquran, mampu mengoperasikan komputer, bertanggung jawab, jujur, disiplin, domisili di jakarta utara diutamakan"
9,Junior High School,Bachelor Degree,Social Sciences Teacher,Perempuan,Jakarta,Jakarta Utara,0,Social Sciences,Read the Qur’an,Leadership,0,Full time,SMP Sejahtera,,Sekolah,www.smp-sejahtera.sch.id,"Usia maksimal 35 tahun, Pendidikan S1 linear, Tinggi badan / berat badan proposional, penampilan menarik, mampu membaca alquran, mampu mengoperasikan komputer, bertanggung jawab, jujur, disiplin, domisili di jakarta utara diutamakan"
10,Junior High School,Bachelor Degree,Civics Teachers,Laki-laki,Jakarta,Jakarta Utara,0,Civics,Read the Qur’an,Operate a computer,0,Full time,SMP Sejahtera,,Sekolah,www.smp-sejahtera.sch.id,"Usia maksimal 35 tahun, Pendidikan S1 linear, Tinggi badan / berat badan proposional, penampilan menarik, mampu membaca alquran, mampu mengoperasikan komputer, bertanggung jawab, jujur, disiplin, domisili di jakarta utara diutamakan"
